Closure1,Closure2,Closure3,Closure4,Closure5,Closure6,Closure7,Closure8,Closure9,Closure10
1.948415491145433620e+01,3.737368963509971387e+00,2.437902584973204778e+00,1.602190443921049923e+00,8.604449857060826323e-01,6.247853841466473046e-01,2.276370513594087708e+00,7.719833235020592266e-01,1.533717181538073016e+00,3.853664108048334702e-01
2.026435935371469554e+01,3.887024510848196890e+00,2.535523571628156780e+00,1.666346990990968280e+00,8.948998031317992874e-01,6.498036789808763203e-01,2.367523267973623113e+00,8.028958686488411045e-01,1.595131852261286065e+00,4.007976464408788964e-01
2.244828757618453707e+01,4.305936472608156151e+00,2.808781728481815065e+00,1.845932348639384379e+00,9.913448425346352844e-01,7.198342468769656222e-01,2.622675715284216391e+00,8.894254705296532615e-01,1.767042220109921180e+00,4.439923646297502247e-01
2.643207690754159600e+01,5.070090251503804879e+00,3.307242675494431960e+00,2.173521059892270291e+00,1.167274030628927317e+00,8.475797590155494943e-01,3.088109325696577478e+00,1.047267519216357856e+00,2.080630680728166926e+00,5.227855482707371992e-01
2.139679714490311468e+01,4.104243983446687061e+00,2.677216810621888765e+00,1.759467837936735002e+00,9.449096918583212990e-01,6.861168053959149082e-01,2.499828107883588668e+00,8.477642806314942270e-01,1.684272967452669301e+00,4.231955122468770147e-01
2.610320606939806254e+01,5.007007625181706167e+00,3.266093594609168704e+00,2.146477869332944710e+00,1.152750677426720438e+00,8.370340774667260897e-01,3.049686726300654183e+00,1.034237300364848844e+00,2.054743242588827901e+00,5.162809923847003768e-01
2.357629244450190598e+01,4.522305640513875069e+00,2.949920309899920934e+00,1.938688674429632108e+00,1.041158967766473875e+00,7.560052257145769561e-01,2.754462648466456276e+00,9.341182453062600866e-01,1.855834392788648923e+00,4.663025540862247298e-01
1.943478588324301626e+01,3.727899203356958679e+00,2.431725417831958502e+00,1.598130807483888249e+00,8.582647868231104704e-01,6.232023004873286087e-01,2.270602637049492500e+00,7.700272691260886537e-01,1.529831042921970141e+00,3.843899678801505071e-01
2.254463081513244305e+01,4.324416629059604666e+00,2.820836417655822270e+00,1.853854694642083523e+00,9.955994821244013027e-01,7.229236211828850012e-01,2.633931677337578492e+00,8.932426940190965059e-01,1.774625986589449589e+00,4.458978846981027644e-01
2.508083588809486031e+01,4.810900860367677723e+00,3.138172269864755837e+00,2.062407929318720079e+00,1.107601513912289226e+00,8.042504155954030010e-01,2.930241292548314114e+00,9.937298863148885664e-01,1.974266223180862534e+00,4.960600934505061677e-01
2.338687922931231000e+01,4.485973191149491335e+00,2.926220489762105803e+00,1.923113144225305771e+00,1.032794240018362064e+00,7.499314386320737880e-01,2.732333145806365771e+00,9.266134885415049371e-01,1.840924518387277775e+00,4.625562540168433601e-01
2.805958427801567012e+01,5.382271896637290887e+00,3.510880166757095910e+00,2.307351691409764705e+00,1.239146819697179325e+00,8.997679510251171964e-01,3.278254076938841077e+00,1.111751124206793229e+00,2.208741755009787422e+00,5.549751236856449443e-01
1.755663405768773444e+01,3.367639988959961972e+00,2.196726711893646211e+00,1.443689574553199240e+00,7.753232208153525429e-01,5.629768601154989671e-01,2.051174622071354925e+00,6.956128593185962883e-01,1.381990208280595933e+00,3.472430332940734110e-01
2.424017389322120408e+01,4.649648598582583503e+00,3.032986694215982215e+00,1.993279931677808259e+00,1.070476814306381863e+00,7.772934687947055110e-01,2.832025168434838758e+00,9.604219474438566717e-01,1.908092568164097003e+00,4.794331010488988021e-01
2.133878144200940952e+01,4.093115654382555313e+00,2.669957751519948186e+00,1.754697181719101273e+00,9.423476448578758102e-01,6.842564545937522835e-01,2.493050024051220781e+00,8.454656356382302951e-01,1.679706196107878746e+00,4.220480514872971822e-01
1.951945267393157835e+01,3.744139632423419517e+00,2.442319122758810579e+00,1.605092994120935090e+00,8.620037796526619500e-01,6.259172539243760269e-01,2.280494417661993012e+00,7.733818590871642806e-01,1.536495684635960757e+00,3.860645458841897582e-01
2.288728199043179856e+01,4.390142541920273977e+00,2.863709726239266562e+00,1.882031048256486594e+00,1.010731392488104063e+00,7.339111876008596047e-01,2.673964259476476979e+00,9.068189047560568650e-01,1.801598159476552219e+00,4.526749943127231779e-01
1.537005202487729782e+01,2.948218984418981226e+00,1.923136504144336900e+00,1.263885992938334590e+00,6.787609857829932647e-01,4.928611942554160796e-01,1.795712125100642265e+00,6.089781105973907094e-01,1.209870942764373902e+00,3.039958268463806013e-01
